"","BARRIO","FECHA","A�O_2017_PRED","A�O_2018_PRED"
"1","",2018-01-05,1.43852978453739,1.42458808618504
"2","",2018-01-23,1.39339752407153,1.33975240715268
"3","",2018-03-17,2.04858299595142,2.08130081300813
"4","",2018-05-03,1.53015075376884,1.50753768844221
"5","",2018-11-17,1.45145018915511,1.40479192938209
"6","",2018-11-24,1.45145018915511,1.40479192938209
"7","Área de Expansión Pajarito",2018-01-01,1.39339752407153,1.33975240715268
"8","Área de Expansión Pajarito",2018-01-31,1.43852978453739,1.42458808618504
"9","Área de Expansión Pajarito",2018-02-02,1.45145018915511,1.40479192938209
"10","Área de Expansión Pajarito",2018-02-05,1.61567164179104,1.53731343283582
"11","Área de Expansión Pajarito",2018-03-05,1.76785714285714,1.51785714285714
"12","Área de Expansión Pajarito",2018-04-12,1.67810026385224,1.5197889182058
"13","Área de Expansión Pajarito",2018-05-29,1.45145018915511,1.40479192938209
"14","Área de Expansión Pajarito",2018-07-04,1.39339752407153,1.33975240715268
"15","Área de Expansión Pajarito",2018-07-07,1.8436974789916,1.668
"16","Área de Expansión Pajarito",2018-07-29,1.77884615384615,1.80769230769231
"17","Área de Expansión Pajarito",2018-08-16,1.4932735426009,1.47982062780269
"18","Área de Expansión Pajarito",2018-08-21,1.6140350877193,1.54385964912281
"19","Área de Expansión Pajarito",2018-08-31,1.43852978453739,1.42458808618504
"20","Área de Expansión Pajarito",2018-11-08,1.39339752407153,1.33975240715268
"21","Área de Expansión Pajarito",2018-12-09,1.39339752407153,1.33975240715268
"22","Área de Expansión Pajarito",2018-12-25,1.43852978453739,1.42458808618504
"23","Alejandría",2018-01-17,1.43852978453739,1.42458808618504
"24","Alejandría",2018-01-31,1.43852978453739,1.42458808618504
"25","Alejandría",2018-02-02,1.43852978453739,1.42458808618504
"26","Alejandría",2018-02-13,1.63636363636364,1.55052264808362
"27","Alejandría",2018-03-30,1.45145018915511,1.40479192938209
"28","Alejandría",2018-05-15,1.45145018915511,1.40479192938209
"29","Alejandría",2018-05-23,1.4932735426009,1.47982062780269
"30","Alejandría",2018-06-06,1.43852978453739,1.42458808618504
"31","Alejandría",2018-06-09,1.39339752407153,1.33975240715268
"32","Alejandría",2018-06-13,1.43852978453739,1.42458808618504
"33","Alejandría",2018-07-12,1.73828125,1.9527027027027
"34","Alejandría",2018-07-27,1.45145018915511,1.40479192938209
"35","Alejandría",2018-09-01,1.45145018915511,1.40479192938209
"36","Alejandría",2018-09-15,1.45145018915511,1.40479192938209
"37","Alejandría",2018-10-03,1.45145018915511,1.40479192938209
"38","Alejandría",2018-11-09,1.45145018915511,1.40479192938209
"39","Alejandría",2018-11-17,1.45145018915511,1.40479192938209
"40","Alejandría",2018-11-24,1.43852978453739,1.42458808618504
"41","Alejandría",2018-12-21,1.6140350877193,1.54385964912281
"42","Alejandro Echavarría",2018-01-10,1.45145018915511,1.40479192938209
"43","Alejandro Echavarría",2018-01-14,1.43852978453739,1.42458808618504
"44","Alejandro Echavarría",2018-01-27,1.61567164179104,1.53731343283582
"45","Alejandro Echavarría",2018-02-02,1.67810026385224,1.5197889182058
"46","Alejandro Echavarría",2018-02-23,2.02158273381295,1.88785046728972
"47","Alejandro Echavarría",2018-03-16,1.61567164179104,1.53731343283582
"48","Alejandro Echavarría",2018-03-17,2.03592814371257,1.78443113772455
"49","Alejandro Echavarría",2018-03-24,1.48458149779736,1.50660792951542
"50","Alejandro Echavarría",2018-03-29,1.61567164179104,1.53731343283582
"51","Alejandro Echavarría",2018-04-02,1.4932735426009,1.47982062780269
"52","Alejandro Echavarría",2018-04-04,1.39339752407153,1.33975240715268
"53","Alejandro Echavarría",2018-04-08,1.4932735426009,1.47982062780269
"54","Alejandro Echavarría",2018-04-25,1.45145018915511,1.40479192938209
"55","Alejandro Echavarría",2018-04-28,1.62962962962963,1.61111111111111
"56","Alejandro Echavarría",2018-05-22,1.61567164179104,1.53731343283582
"57","Alejandro Echavarría",2018-05-23,1.45145018915511,1.40479192938209
"58","Alejandro Echavarría",2018-05-24,1.48458149779736,1.50660792951542
"59","Alejandro Echavarría",2018-05-26,1.43852978453739,1.42458808618504
"60","Alejandro Echavarría",2018-05-28,1.39339752407153,1.33975240715268
"61","Alejandro Echavarría",2018-06-10,1.45145018915511,1.40479192938209
"62","Alejandro Echavarría",2018-06-16,1.39339752407153,1.33975240715268
"63","Alejandro Echavarría",2018-06-27,1.45145018915511,1.40479192938209
"64","Alejandro Echavarría",2018-07-02,1.43852978453739,1.42458808618504
"65","Alejandro Echavarría",2018-07-20,1.53015075376884,1.50753768844221
"66","Alejandro Echavarría",2018-07-24,1.73828125,1.9527027027027
"67","Alejandro Echavarría",2018-07-27,1.53015075376884,1.50753768844221
"68","Alejandro Echavarría",2018-08-14,1.39339752407153,1.33975240715268
"69","Alejandro Echavarría",2018-08-19,1.43852978453739,1.42458808618504
"70","Alejandro Echavarría",2018-08-24,1.39339752407153,1.33975240715268
"71","Alejandro Echavarría",2018-09-01,1.43852978453739,1.42458808618504
"72","Alejandro Echavarría",2018-09-23,1.45145018915511,1.40479192938209
"73","Alejandro Echavarría",2018-10-02,1.58333333333333,1.64583333333333
"74","Alejandro Echavarría",2018-10-31,1.39339752407153,1.33975240715268
"75","Alejandro Echavarría",2018-11-14,1.43852978453739,1.42458808618504
"76","Alejandro Echavarría",2018-12-06,1.58333333333333,1.64583333333333
"77","Alejandro Echavarría",2018-12-09,1.78034682080925,1.58959537572254
"78","Alejandro Echavarría",2018-12-14,1.53015075376884,1.50753768844221
"79","Alejandro Echavarría",2018-12-23,1.6140350877193,1.54385964912281
"80","Alfonso López",2018-01-14,1.8436974789916,1.668
"81","Alfonso López",2018-01-15,1.45145018915511,1.40479192938209
"82","Alfonso López",2018-01-16,1.67810026385224,1.5197889182058
"83","Alfonso López",2018-01-25,1.45145018915511,1.40479192938209
"84","Alfonso López",2018-01-27,1.53015075376884,1.50753768844221
"85","Alfonso López",2018-02-01,1.48458149779736,1.50660792951542
"86","Alfonso López",2018-02-03,1.82312925170068,1.6936170212766
"87","Alfonso López",2018-02-09,1.39339752407153,1.33975240715268
"88","Alfonso López",2018-02-10,1.68,1.6
"89","Alfonso López",2018-02-15,1.45145018915511,1.40479192938209
"90","Alfonso López",2018-02-17,1.43852978453739,1.42458808618504
"91","Alfonso López",2018-02-26,1.78034682080925,1.58959537572254
"92","Alfonso López",2018-03-01,1.43852978453739,1.42458808618504
"93","Alfonso López",2018-03-03,1.77884615384615,1.80769230769231
"94","Alfonso López",2018-03-08,2.03592814371257,1.78443113772455
"95","Alfonso López",2018-03-11,1.67810026385224,1.5197889182058
"96","Alfonso López",2018-03-15,1.58333333333333,1.64583333333333
"97","Alfonso López",2018-03-21,1.84172661870504,1.66906474820144
"98","Alfonso López",2018-03-24,1.39339752407153,1.33975240715268
"99","Alfonso López",2018-03-31,1.39339752407153,1.33975240715268
"100","Alfonso López",2018-04-01,1.6140350877193,1.54385964912281
"101","Alfonso López",2018-04-15,1.6140350877193,1.54385964912281
"102","Alfonso López",2018-04-25,1.6140350877193,1.54385964912281
"103","Alfonso López",2018-05-03,1.61567164179104,1.53731343283582
"104","Alfonso López",2018-05-18,1.48458149779736,1.50660792951542
"105","Alfonso López",2018-05-19,2.16753926701571,2.08783783783784
"106","Alfonso López",2018-05-21,1.61567164179104,1.53731343283582
"107","Alfonso López",2018-05-30,1.45145018915511,1.40479192938209
"108","Alfonso López",2018-06-15,2.03592814371257,1.78443113772455
"109","Alfonso López",2018-06-23,1.67810026385224,1.5197889182058
"110","Alfonso López",2018-07-06,1.39339752407153,1.33975240715268
"111","Alfonso López",2018-07-16,1.73828125,1.9527027027027
"112","Alfonso López",2018-07-26,1.61567164179104,1.53731343283582
"113","Alfonso López",2018-07-28,1.45145018915511,1.40479192938209
"114","Alfonso López",2018-08-12,1.4932735426009,1.47982062780269
"115","Alfonso López",2018-08-14,1.63636363636364,1.55052264808362
"116","Alfonso López",2018-08-19,1.77884615384615,1.80769230769231
"117","Alfonso López",2018-09-05,1.89081885856079,2.17948717948718
"118","Alfonso López",2018-09-06,1.39339752407153,1.33975240715268
"119","Alfonso López",2018-09-09,1.43852978453739,1.42458808618504
"120","Alfonso López",2018-09-12,1.73828125,1.9527027027027
"121","Alfonso López",2018-09-22,1.43852978453739,1.42458808618504
"122","Alfonso López",2018-09-23,1.89081885856079,2.17948717948718
"123","Alfonso López",2018-09-30,1.61567164179104,1.53731343283582
"124","Alfonso López",2018-10-02,1.39339752407153,1.33975240715268
"125","Alfonso López",2018-10-04,1.9727463312369,2.06474820143885
"126","Alfonso López",2018-10-05,1.58333333333333,1.64583333333333
"127","Alfonso López",2018-10-06,1.6140350877193,1.54385964912281
"128","Alfonso López",2018-10-08,1.53015075376884,1.50753768844221
"129","Alfonso López",2018-11-11,1.39339752407153,1.33975240715268
"130","Alfonso López",2018-11-12,1.6140350877193,1.54385964912281
"131","Alfonso López",2018-12-08,2.03592814371257,1.78443113772455
"132","Altamira",2018-01-16,1.43852978453739,1.42458808618504
"133","Altamira",2018-02-26,1.77884615384615,1.80769230769231
"134","Altamira",2018-04-03,1.62962962962963,1.61111111111111
"135","Altamira",2018-04-10,1.6140350877193,1.54385964912281
"136","Altamira",2018-04-25,1.45145018915511,1.40479192938209
"137","Altamira",2018-05-01,1.67810026385224,1.5197889182058
"138","Altamira",2018-05-02,1.6875,1.53977272727273
"139","Altamira",2018-05-13,1.53015075376884,1.50753768844221
"140","Altamira",2018-06-03,1.84732824427481,1.77235772357724
"141","Altamira",2018-06-09,1.53015075376884,1.50753768844221
"142","Altamira",2018-06-17,1.67810026385224,1.5197889182058
"143","Altamira",2018-07-01,1.48458149779736,1.50660792951542
"144","Altamira",2018-07-05,1.4932735426009,1.47982062780269
"145","Altamira",2018-08-08,1.43852978453739,1.42458808618504
"146","Altamira",2018-08-17,1.80912863070539,1.9527027027027
"147","Altamira",2018-08-20,1.39339752407153,1.33975240715268
"148","Altamira",2018-09-12,1.6140350877193,1.54385964912281
"149","Altamira",2018-09-13,1.39339752407153,1.33975240715268
"150","Altamira",2018-09-14,2.03592814371257,1.78443113772455
"151","Altamira",2018-10-02,1.45145018915511,1.40479192938209
"152","Altamira",2018-11-20,1.43852978453739,1.42458808618504
