"","SEMANA","BARRIO","A�O_2018_PRED"
"1","00","",1.37707948243993
"2","00","Área de Expansión Pajarito",1.29501915708812
"3","00","Aures No.1",1.88832487309645
"4","00","Barrio Caicedo",1.37707948243993
"5","00","Barrio Colón",6.82174683485276
"6","00","Barrio Colombia",1.53308128544423
"7","00","Belén",4.12396652550918
"8","00","Bolivariana",1.4375
"9","00","Brasilia",1.52686567164179
"10","00","Cabecera San Antonio de Prado",1.65121412803532
"11","00","Calle Nueva",3.84705882352941
"12","00","Campo Alegre",1.33213644524237
"13","00","Campo Amor",6.789511895433
"14","00","Campo Valdés No. 1",1.37707948243993
"15","00","Campo Valdés No. 2",2.76963644524237
"16","00","Caribe",7.34504325090325
"17","00","Carlos E. Restrepo",1.62244897959184
"18","00","Castilla",2.20673076923077
"19","00","Corazón de Jesús",2.86545129074807
"20","00","Cucaracho",1.8952380952381
"21","00","El Diamante",1.75985663082437
"22","00","El Estadio",1.43214285714286
"23","00","El Progreso",1.35862068965517
"24","00","El Rincón",1.44578313253012
"25","00","El Tesoro",1.33213644524237
"26","00","El Velódromo",1.37707948243993
"27","00","Enciso",1.37707948243993
"28","00","Estación Villa",1.35862068965517
"29","00","Fátima",1.65829145728643
"30","00","Florencia",1.29501915708812
"31","00","Florida Nueva",1.33213644524237
"32","00","Girardot",1.50367107195301
"33","00","Guayabal",3.45365021278345
"34","00","Guayaquil",5.26301553232246
"35","00","Jesús Nazareno",1.40789473684211
"36","00","La Alpujarra",1.37707948243993
"37","00","La Candelaria",10.1227551930877
"38","00","La Florida",1.29501915708812
"39","00","La Isla",1.29501915708812
"40","00","Las Acacias",2.9596650048724
"41","00","Las Brisas",2.97567448031844
"42","00","Las Granjas",1.44578313253012
"43","00","Laureles",1.42105263157895
"44","00","Los Colores",1.4375
"45","00","Los Conquistadores",2.01156069364162
"46","00","Manrique Central No. 2",1.40789473684211
"47","00","Moravia",1.45625
"48","00","Naranjal",3.46662959606777
"49","00","Parque Juan Pablo II",1.44554455445545
"50","00","Perpetuo Socorro",8.13610364768625
"51","00","Robledo",3.39194185211773
"52","00","Rosales",1.50955414012739
"53","00","San Benito",1.7037037037037
"54","00","San Diego",5.00236868136191
"55","00","San Martín de Porres",1.46534653465347
"56","00","San Miguel",1.33213644524237
"57","00","San Pedro",1.43214285714286
"58","00","Santa Fé",3.84807256235828
"59","00","Suramericana",1.35862068965517
"60","00","Terminal de Transporte",3.5317620650954
"61","00","Tricentenario",1.5068306010929
"62","00","Villa Carlota",1.84705882352941
"63","00","Villa Flora",1.50955414012739
"64","00","Villa Nueva",1.84065934065934
"65","01","Alejandro Echavarría",1.33213644524237
"66","01","Barrio Caicedo",1.29501915708812
"67","01","Barrio Colón",6.57976904975193
"68","01","Barrio Colombia",1.65886287625418
"69","01","Belén",7.34515021036392
"70","01","Belalcázar",1.33213644524237
"71","01","Bosques de San Pablo",1.29501915708812
"72","01","Boston",3.39230330686942
"73","01","Calasanz Parte Alta",1.29501915708812
"74","01","Campo Amor",7.46280992316319
"75","01","Campo Valdés No. 1",1.57943925233645
"76","01","Campo Valdés No. 2",1.44554455445545
"77","01","Caribe",10.6359505143849
"78","01","Carlos E. Restrepo",5.07878684137703
"79","01","Castilla",8.9690440271161
"80","01","Corazón de Jesús",1.87937743190661
"81","01","Cucaracho",4.73278541007665
"82","01","El Chagualo",3.1236379919399
"83","01","El Nogal-Los Almendros",1.33213644524237
"84","01","El Poblado",1.55925925925926
"85","01","El Progreso",1.79710144927536
"86","01","Estación Villa",1.50367107195301
"87","01","Facultad de Minas U. Nacional",1.44578313253012
"88","01","Francisco Antonio Zea",1.44578313253012
"89","01","Guayabal",2.94169699727025
"90","01","Guayaquil",3.57621791513882
"91","01","Héctor Abad Gómez",1.37707948243993
"92","01","Jesús Nazareno",1.62244897959184
"93","01","Kennedy",1.29501915708812
"94","01","La Aguacatala",1.67241379310345
"95","01","La Candelaria",10.8464789856921
"96","01","La Palma",1.44578313253012
"97","01","López de Mesa",1.33213644524237
"98","01","Las Brisas",1.44554455445545
"99","01","Las Granjas",1.40789473684211
"100","01","Los Ángeles",1.43214285714286
"101","01","Los Colores",2.95651873477637
"102","01","Los Conquistadores",7.95219631203613
"103","01","Manila",1.88832487309645
"104","01","Manrique Central No. 1",2.66427289048474
"105","01","Miranda",2.7357001720951
"106","01","Moravia",1.52686567164179
"107","01","Naranjal",5.27598283061246
"108","01","Pedregal",2.94705414012739
"109","01","Perpetuo Socorro",6.48627023095108
"110","01","Popular",1.37707948243993
"111","01","Prado",1.67987804878049
"112","01","Rosales",2.85214285714286
"113","01","San Benito",3.20737477565671
"114","01","San Diego",8.43780401437347
"115","01","San Isidro",1.43214285714286
"116","01","San Javier No.1",1.44578313253012
"117","01","Santa Fé",1.98076923076923
"118","01","Sevilla",1.44578313253012
"119","01","Sucre",1.33213644524237
"120","01","Suramericana",2.73251915708812
"121","01","Tejelo",1.37707948243993
"122","01","Terminal de Transporte",7.78027334462034
"123","01","Toscana",2.88391008353282
"124","01","Tricentenario",1.57943925233645
"125","01","Trinidad",1.29501915708812
"126","01","Villa Carlota",4.39241022609724
"127","01","Villa Flora",3.0848834751804
"128","01","Villa Nueva",3.86262563141176
"129","02","Alejandría",1.37707948243993
"130","02","Alejandro Echavarría",1.37707948243993
"131","02","Alfonso López",4.4330671256018
"132","02","Altamira",1.37707948243993
"133","02","Aures No.1",1.33213644524237
"134","02","Barrio Caicedo",1.43214285714286
"135","02","Barrio Colón",10.0973641990672
"136","02","Barrio Colombia",1.37707948243993
"137","02","Belén",8.5953700834467
"138","02","Bolivariana",1.45011086474501
"139","02","Bomboná No. 1",2.95509869458283
"140","02","Boston",4.7547206099134
"141","02","Cabecera San Antonio de Prado",2.93897345823575
"142","02","Cabecera Urbana San Cristobal",1.40789473684211
"143","02","Calasanz",1.33213644524237
"144","02","Calle Nueva",2.97567448031844
"145","02","Campo Alegre",1.40789473684211
"146","02","Campo Amor",12.8261553110613
"147","02","Campo Valdés No. 1",1.45625
"148","02","Caribe",9.65071411211904
"149","02","Carlos E. Restrepo",8.87444350195535
"150","02","Castilla",7.69141604010025
"151","02","Castropol",4.88011406133134
"152","02","Corazón de Jesús",2.54368932038835
"153","02","Cristo Rey",7.05737584104471
"154","02","El Chagualo",2.14150943396226
"155","02","El Diamante",1.59808612440191
"156","02","El Estadio",3.87539672044433
"157","02","El Poblado",1.68449931412894
"158","02","El Progreso",5.32673397392928
"159","02","El Rincón",4.24719034718494
"160","02","El Salvador",2.90179455445545
"161","02","Estación Villa",1.8256880733945
"162","02","Fátima",1.5546218487395
"163","02","Florida Nueva",1.37707948243993
"164","02","Francisco Antonio Zea",1.37707948243993
"165","02","Girardot",1.42105263157895
"166","02","Guayabal",5.11702909225656
"167","02","Guayaquil",8.17744808946855
"168","02","Jesús Nazareno",5.95091005171841
"169","02","La Aguacatala",1.55892255892256
"170","02","La América",1.45011086474501
"171","02","La Candelaria",7.16914792883751
"172","02","La Floresta",1.40789473684211
"173","02","La Libertad",1.33213644524237
"174","02","López de Mesa",1.40789473684211
"175","02","Las Acacias",2.88631601180584
"176","02","Las Granjas",1.45625
"177","02","Laureles",1.33213644524237
"178","02","Lorena",1.29501915708812
"179","02","Loreto",1.70780399274047
"180","02","Los Ángeles",6.67803772211815
"181","02","Los Alpes",1.37707948243993
"182","02","Los Colores",6.20502233538238
"183","02","Los Conquistadores",10.9452593764799
"184","02","Los Mangos",1.37707948243993
"185","02","Los Naranjos",1.29501915708812
"186","02","Los Pinos",3.1412037037037
"187","02","Manila",5.21549399846107
"188","02","Naranjal",7.09165393344628
"189","02","Patio Bonito",2.83332948243993
"190","02","Perpetuo Socorro",13.4735753576221
"191","02","Popular",1.70756302521008
"192","02","Prado",7.08806908374521
"193","02","Robledo",1.68994413407821
"194","02","Rosales",2.37383177570093
"195","02","San Benito",7.80019059138307
"196","02","San Diego",5.96389329866487
"197","02","San Germán",2.62715560233049
"198","02","San Javier No.1",1.81564245810056
"199","02","San Martín de Porres",1.4375
"200","02","San Pablo",1.40789473684211
"201","02","San Pedro",1.52686567164179
"202","02","Santa Fé",13.2966728529023
"203","02","Santa María de los Ángeles",1.29501915708812
"204","02","Santander",1.33213644524237
"205","02","Sevilla",4.68813888995421
"206","02","Sucre",1.45625
"207","02","Suramericana",4.54073697371324
"208","02","Tenche",1.33213644524237
"209","02","Terminal de Transporte",7.04717644358723
"210","02","Toscana",1.37707948243993
"211","02","Trinidad",1.35862068965517
"212","02","Universidad Nacional",1.29501915708812
"213","02","Villa Carlota",3.24695767195767
"214","02","Villa del Socorro",1.70756302521008
"215","02","Villa Flora",1.45625
"216","02","Villa Guadalupe",1.29501915708812
"217","02","Villa Nueva",7.26737403174545
"218","03","",1.35862068965517
"219","03","Alejandro Echavarría",1.45625
"220","03","Alfonso López",2.77791957777249
"221","03","Barrio Caicedo",1.57963446475196
"222","03","Barrio Colón",13.0223627852955
"223","03","Barrio Colombia",5.96988314936124
"224","03","Belén",8.986764942536
"225","03","Bomboná No. 1",1.44554455445545
"226","03","Bosques de San Pablo",1.50955414012739
"227","03","Boston",5.8442074267021
"228","03","Brasilia",1.37707948243993
"229","03","Córdoba",1.33213644524237
"230","03","Cabecera San Antonio de Prado",2.74513002183313
"231","03","Calle Nueva",4.54878502841466
"232","03","Campo Amor",8.08373823237954
"233","03","Campo Valdés No. 1",2.84964100582762
"234","03","Caribe",9.73978605977619
"235","03","Carlos E. Restrepo",6.5963721305076
"236","03","Castilla",2.80440382218529
"237","03","Castropol",1.51923076923077
"238","03","Corazón de Jesús",3.2728021978022
"239","03","Cristo Rey",1.33213644524237
"240","03","Cuarta Brigada",3.23085689239535
"241","03","El Chagualo",1.29501915708812
"242","03","El Diamante",3.12475633528265
"243","03","El Estadio",2.94081547742875
"244","03","El Poblado",4.18050551838509
"245","03","El Progreso",4.83621411752443
"246","03","Fátima",1.46534653465347
"247","03","Florida Nueva",1.33213644524237
"248","03","Girardot",1.7037037037037
"249","03","Granada",1.40789473684211
"250","03","Guayabal",3.43261332522057
"251","03","Guayaquil",7.97560620592449
"252","03","Héctor Abad Gómez",1.42
"253","03","Jesús Nazareno",3.59756663401557
"254","03","Kennedy",1.44578313253012
"255","03","La Aguacatala",4.60553576938484
"256","03","La Alpujarra",2.80457329721551
"257","03","La Candelaria",10.251883981383
"258","03","La Castellana",4.15499906021242
"259","03","La Esperanza",1.42
"260","03","La Florida",1.29501915708812
"261","03","La Gloria",2.78838644524237
"262","03","López de Mesa",1.52686567164179
"263","03","Las Brisas",1.46534653465347
"264","03","Las Lomas No.1",1.57943925233645
"265","03","Las Lomas No.2",1.29501915708812
"266","03","Laureles",3.16905023835717
"267","03","Loreto",1.37707948243993
"268","03","Los Ángeles",4.93648208809736
"269","03","Los Colores",3.35441767068273
"270","03","Los Conquistadores",12.6314001950703
"271","03","Los Pinos",1.45625
"272","03","Manila",1.35862068965517
"273","03","Manrique Central No. 1",3.17044489726609
"274","03","Manrique Central No. 2",1.61818181818182
"275","03","Manrique Oriental",1.29501915708812
"276","03","Moravia",3.52979149406241
"277","03","Naranjal",11.0425540126498
"278","03","Perpetuo Socorro",8.30481068972015
"279","03","Prado",3.42066069428891
"280","03","Robledo",2.91320097526994
"281","03","Rosales",3.06145244983239
"282","03","San Benito",2.45535714285714
"283","03","San Bernardo",1.68994413407821
"284","03","San Diego",5.48604025344273
"285","03","Santa Fé",9.75204004825065
"286","03","Santander",1.29501915708812
"287","03","Sevilla",2.99343185550082
"288","03","Sucre",1.33213644524237
"289","03","Suramericana",1.33213644524237
"290","03","Tejelo",1.29501915708812
"291","03","Terminal de Transporte",12.2440713987517
"292","03","Trinidad",2.86964285714286
"293","03","Universidad Nacional",8.6007932014836
"294","03","Villa Carlota",8.427262411419
"295","03","Villa Flora",1.33213644524237
"296","03","Villa Hermosa",1.58333333333333
"297","03","Villa Nueva",7.68129804069421
"298","04","Área de Expansión Pajarito",2.7092159276823
"299","04","Alejandría",2.81457948243993
"300","04","Alejandro Echavarría",1.42105263157895
"301","04","Alfonso López",3.1184126984127
"302","04","Barrio Colón",6.55995369817895
"303","04","Barrio Colombia",3.04244897959184
"304","04","Belén",5.0885384456813
"305","04","Berlin",1.61818181818182
"306","04","Bosques de San Pablo",1.33213644524237
"307","04","Boston",7.7642570448691
"308","04","Boyacá",1.44578313253012
"309","04","Buenos Aires",1.53308128544423
"310","04","Cabecera San Antonio de Prado",4.23307909907974
"311","04","Calle Nueva",5.86163575133461
"312","04","Campo Amor",10.5289449735384
"313","04","Campo Valdés No. 1",3.85972222222222
"314","04","Campo Valdés No. 2",1.29501915708812
"315","04","Caribe",10.6740463860615
"316","04","Carlos E. Restrepo",9.80132774761524
"317","04","Castilla",6.65538370720189
"318","04","Castropol",1.57943925233645
"319","04","Cerro Nutibara",1.42105263157895
"320","04","Corazón de Jesús",5.68967144719687
"321","04","Cristo Rey",4.95565270594963
"322","04","Cuarta Brigada",5.7565253757537
"323","04","Cucaracho",2.98311567164179
"324","04","El Diamante",2.8531954887218
"325","04","El Pesebre",1.29501915708812
"326","04","El Poblado",3.20551378446115
"327","04","El Progreso",6.12373994237898
"328","04","El Tesoro",1.29501915708812
"329","04","Estación Villa",4.39031209353981
"330","04","Facultad de Minas U. Nacional",2.72716201423098
"331","04","Florida Nueva",1.33213644524237
"332","04","Girardot",1.37707948243993
"333","04","Guayabal",5.64668853321602
"334","04","Guayaquil",12.179862985453
"335","04","Héctor Abad Gómez",1.37707948243993
"336","04","Jesús Nazareno",3.31756386861314
"337","04","La Alpujarra",2.95533727265751
"338","04","La Candelaria",11.8238058463947
"339","04","La Gloria",4.13026855926124
"340","04","La Pilarica",1.29501915708812
"341","04","López de Mesa",2.67209863952805
"342","04","Las Acacias",1.42
"343","04","Las Brisas",1.4375
"344","04","Las Granjas",1.58333333333333
"345","04","Las Mercedes",1.33213644524237
"346","04","Las Palmas",3.14816381978932
"347","04","Laureles",6.27143649033893
"348","04","Los Ángeles",3.04478578698991
"349","04","Los Colores",4.27855263157895
"350","04","Los Conquistadores",12.5148077015944
"351","04","Los Pinos",1.61818181818182
"352","04","Manila",2.97516560684184
"353","04","Miranda",1.55925925925926
"354","04","Moravia",4.45877839015429
"355","04","Naranjal",7.55828012567143
"356","04","Palenque",1.33213644524237
"357","04","Patio Bonito",2.76427930238523
"358","04","Pedregal",2.76427930238523
"359","04","Perpetuo Socorro",9.10796662993435
"360","04","Prado",3.21325784383109
"361","04","Rosales",5.05978256344756
"362","04","San Benito",7.95038031530817
"363","04","San Bernardo",1.61818181818182
"364","04","San Diego",7.92526093461859
"365","04","San Germán",2.85900211688416
"366","04","San Miguel",1.42
"367","04","San Pedro",1.7037037037037
"368","04","Santa Fé",8.28587534978418
"369","04","Sevilla",2.97997519050151
"370","04","Sucre",2.83332948243993
"371","04","Suramericana",1.50955414012739
"372","04","Tenche",4.51299218085262
"373","04","Terminal de Transporte",5.12708818474448
"374","04","Toscana",1.68449931412894
"375","04","Tricentenario",1.5068306010929
"376","04","Trinidad",1.43214285714286
"377","04","U.D. Atanasio Girardot",1.33213644524237
"378","04","Universidad de Antioquia",1.42105263157895
"379","04","Universidad Nacional",3.71681300174948
"380","04","Villa Carlota",7.11103512856237
"381","04","Villa Flora",1.37707948243993
"382","04","Villa Nueva",1.70780399274047
"383","05","Área de Expansión Pajarito",1.45625
"384","05","Alfonso López",2.81424992631889
"385","05","Astorga",1.43214285714286
"386","05","Aures No. 2",1.29501915708812
"387","05","Barrio Caicedo",1.65886287625418
"388","05","Barrio Colón",9.54126353455379
"389","05","Barrio Colombia",1.75328083989501
"390","05","Belén",4.92108522544064
"391","05","Berlin",1.33213644524237
"392","05","Bolivariana",2.86683576410907
