"","SEMANA","BARRIO","A�O_2017_PRED","A�O_2018_PRED"
"1","00","",1.43852978453739,1.42458808618504
"2","00","Área de Expansión Pajarito",1.39339752407153,1.33975240715268
"3","00","Aures No.1",2.03595890410959,1.77777777777778
"4","00","Barrio Caicedo",1.43852978453739,1.42458808618504
"5","00","Barrio Colón",7.02322874812402,6.63237305538011
"6","00","Barrio Colombia",1.61567164179104,1.53731343283582
"7","00","Belén",4.56477133052467,4.33936195316118
"8","00","Bolivariana",1.43852978453739,1.42458808618504
"9","00","Brasilia",1.62962962962963,1.61111111111111
"10","00","Cabecera San Antonio de Prado",1.58333333333333,1.64583333333333
"11","00","Calle Nueva",3.64220472440945,3.51085271317829
"12","00","Campo Alegre",1.45145018915511,1.40479192938209
"13","00","Campo Amor",7.23314974956896,6.78473071734554
"14","00","Campo Valdés No. 1",1.43852978453739,1.42458808618504
"15","00","Campo Valdés No. 2",2.8899799736925,2.82938001556714
"16","00","Caribe",7.68518044623961,7.50694709004528
"17","00","Carlos E. Restrepo",1.39339752407153,1.33975240715268
"18","00","Castilla",2.1156462585034,2.04545454545455
"19","00","Corazón de Jesús",3.17374434488078,2.92934778287523
"20","00","Cucaracho",2,1.97905759162304
"21","00","El Diamante",1.80912863070539,1.9527027027027
"22","00","El Estadio",1.6140350877193,1.54385964912281
"23","00","El Progreso",1.39339752407153,1.33975240715268
"24","00","El Rincón",1.53015075376884,1.50753768844221
"25","00","El Tesoro",1.45145018915511,1.40479192938209
"26","00","El Velódromo",1.43852978453739,1.42458808618504
"27","00","Enciso",1.43852978453739,1.42458808618504
"28","00","Estación Villa",1.39339752407153,1.33975240715268
"29","00","Fátima",1.68,1.6
"30","00","Florencia",1.39339752407153,1.33975240715268
"31","00","Florida Nueva",1.45145018915511,1.40479192938209
"32","00","Girardot",1.76785714285714,1.51785714285714
"33","00","Guayabal",3.52044848819042,3.79059829059829
"34","00","Guayaquil",5.5896463664583,5.23393817689595
"35","00","Jesús Nazareno",1.4932735426009,1.47982062780269
"36","00","La Alpujarra",1.43852978453739,1.42458808618504
"37","00","La Candelaria",10.6727510523824,10.2877310537296
"38","00","La Florida",1.39339752407153,1.33975240715268
"39","00","La Isla",1.39339752407153,1.33975240715268
"40","00","Las Acacias",2.944723731756,2.88461255718478
"41","00","Las Brisas",3.26143359718558,3.16562225153914
"42","00","Las Granjas",1.53015075376884,1.50753768844221
"43","00","Laureles",1.67810026385224,1.5197889182058
"44","00","Los Colores",1.43852978453739,1.42458808618504
"45","00","Los Conquistadores",1.9727463312369,2.06474820143885
"46","00","Manrique Central No. 2",1.4932735426009,1.47982062780269
"47","00","Moravia",1.61567164179104,1.53731343283582
"48","00","Naranjal",3.69600947141166,3.54979438069767
"49","00","Parque Juan Pablo II",1.6875,1.53977272727273
"50","00","Perpetuo Socorro",7.84201022075344,7.84458966671294
"51","00","Robledo",3.52969773832171,3.50405865409793
"52","00","Rosales",1.45145018915511,1.40479192938209
"53","00","San Benito",1.77884615384615,1.80769230769231
"54","00","San Diego",5.20487438884337,4.8734919960699
"55","00","San Martín de Porres",1.53015075376884,1.50753768844221
"56","00","San Miguel",1.45145018915511,1.40479192938209
"57","00","San Pedro",1.6140350877193,1.54385964912281
"58","00","Santa Fé",3.96506473557165,3.84016874541453
"59","00","Suramericana",1.39339752407153,1.33975240715268
"60","00","Terminal de Transporte",3.70617801763194,3.37448977290666
"61","00","Tricentenario",1.78034682080925,1.58959537572254
"62","00","Villa Carlota",1.68,1.6
"63","00","Villa Flora",1.45145018915511,1.40479192938209
"64","00","Villa Nueva",1.78034682080925,1.58959537572254
"65","01","Alejandro Echavarría",1.45145018915511,1.40479192938209
"66","01","Barrio Caicedo",1.39339752407153,1.33975240715268
"67","01","Barrio Colón",6.91953288743038,6.41024220942254
"68","01","Barrio Colombia",2.03592814371257,1.78443113772455
"69","01","Belén",7.06185069856945,7.29084372834373
"70","01","Belalcázar",1.45145018915511,1.40479192938209
"71","01","Bosques de San Pablo",1.39339752407153,1.33975240715268
"72","01","Boston",3.73884615384615,3.69569230769231
"73","01","Calasanz Parte Alta",1.39339752407153,1.33975240715268
"74","01","Campo Amor",7.45230557152212,7.23361166952856
"75","01","Campo Valdés No. 1",1.6140350877193,1.54385964912281
"76","01","Campo Valdés No. 2",1.6875,1.53977272727273
"77","01","Caribe",10.7909408873795,10.7609943838855
"78","01","Carlos E. Restrepo",4.98080493147893,4.72070478810506
"79","01","Castilla",9.2029217390906,8.86525477728632
"80","01","Corazón de Jesús",2.16959064327485,2.13592233009709
"81","01","Cucaracho",4.98591246019318,4.72046208576646
"82","01","El Chagualo",3.21015075376884,3.10753768844221
"83","01","El Nogal-Los Almendros",1.45145018915511,1.40479192938209
"84","01","El Poblado",1.63636363636364,1.55052264808362
"85","01","El Progreso",1.8436974789916,1.668
"86","01","Estación Villa",1.76785714285714,1.51785714285714
"87","01","Facultad de Minas U. Nacional",1.53015075376884,1.50753768844221
"88","01","Francisco Antonio Zea",1.53015075376884,1.50753768844221
"89","01","Guayabal",3.06548527687441,2.9486515785049
"90","01","Guayaquil",3.6482063093244,3.77539483129935
"91","01","Héctor Abad Gómez",1.43852978453739,1.42458808618504
"92","01","Jesús Nazareno",1.39339752407153,1.33975240715268
"93","01","Kennedy",1.39339752407153,1.33975240715268
"94","01","La Aguacatala",1.67810026385224,1.5197889182058
"95","01","La Candelaria",10.6737454363939,10.3054066511216
"96","01","La Palma",1.53015075376884,1.50753768844221
"97","01","López de Mesa",1.45145018915511,1.40479192938209
"98","01","Las Brisas",1.6875,1.53977272727273
"99","01","Las Granjas",1.4932735426009,1.47982062780269
"100","01","Los Ángeles",1.6140350877193,1.54385964912281
"101","01","Los Colores",3.05256487225669,2.96844773530785
"102","01","Los Conquistadores",8.52457152749726,8.71652932544871
"103","01","Manila",2.03595890410959,1.77777777777778
"104","01","Manrique Central No. 1",2.90290037831021,2.80958385876419
"105","01","Miranda",2.83192730860892,2.76434049333773
"106","01","Moravia",1.62962962962963,1.61111111111111
"107","01","Naranjal",5.7413660900503,5.50728966173315
"108","01","Pedregal",2.8899799736925,2.82938001556714
"109","01","Perpetuo Socorro",5.90497651952234,6.16398058252427
"110","01","Popular",1.43852978453739,1.42458808618504
"111","01","Prado",1.8436974789916,1.668
"112","01","Rosales",3.09861658551665,3.05046757863823
"113","01","San Benito",3.5467032967033,3.32554945054945
"114","01","San Diego",8.80540148466307,8.2941442126114
"115","01","San Isidro",1.6140350877193,1.54385964912281
"116","01","San Javier No.1",1.53015075376884,1.50753768844221
"117","01","Santa Fé",1.53015075376884,1.50753768844221
"118","01","Sevilla",1.53015075376884,1.50753768844221
"119","01","Sucre",1.45145018915511,1.40479192938209
"120","01","Suramericana",2.83192730860892,2.76434049333773
"121","01","Tejelo",1.43852978453739,1.42458808618504
"122","01","Terminal de Transporte",7.65968299766519,7.27469697711856
"123","01","Toscana",3.21887660534664,3.01418346190759
"124","01","Tricentenario",1.6140350877193,1.54385964912281
"125","01","Trinidad",1.39339752407153,1.33975240715268
"126","01","Villa Carlota",4.80171112742699,4.65749176789926
"127","01","Villa Flora",3.39852978453739,3.31258808618504
"128","01","Villa Nueva",4.04193548387097,3.89808153477218
"129","02","Alejandría",1.43852978453739,1.42458808618504
"130","02","Alejandro Echavarría",1.43852978453739,1.42458808618504
"131","02","Alfonso López",4.97324793199895,4.5925808475879
"132","02","Altamira",1.43852978453739,1.42458808618504
"133","02","Aures No.1",1.45145018915511,1.40479192938209
"134","02","Barrio Caicedo",1.6140350877193,1.54385964912281
"135","02","Barrio Colón",10.0691395158275,9.46312063603681
"136","02","Barrio Colombia",1.43852978453739,1.42458808618504
"137","02","Belén",9.17040888507315,8.8066731123811
"138","02","Bolivariana",1.4932735426009,1.47982062780269
"139","02","Bomboná No. 1",3.13895018915511,2.94456465665482
"140","02","Boston",5.01315841427782,4.66628168680407
"141","02","Cabecera San Antonio de Prado",3.39438190852855,3.13345502484535
"142","02","Cabecera Urbana San Cristobal",1.4932735426009,1.47982062780269
"143","02","Calasanz",1.45145018915511,1.40479192938209
"144","02","Calle Nueva",3.26143359718558,3.16562225153914
"145","02","Campo Alegre",1.4932735426009,1.47982062780269
"146","02","Campo Amor",13.3931529579276,11.7912706365698
"147","02","Campo Valdés No. 1",1.61567164179104,1.53731343283582
"148","02","Caribe",9.12279856593049,9.32607966679021
"149","02","Carlos E. Restrepo",9.40627621184334,9.24151421124007
"150","02","Castilla",6.7826330608059,6.56443845366431
"151","02","Castropol",5.17062042781224,5.23630487816499
"152","02","Corazón de Jesús",1.96774193548387,1.91111111111111
"153","02","Cristo Rey",7.31951470266793,6.94615306433685
"154","02","El Chagualo",2.3728813559322,2.32173913043478
"155","02","El Diamante",1.78034682080925,1.58959537572254
"156","02","El Estadio",3.79111111111111,3.84347826086957
"157","02","El Poblado",1.77884615384615,1.80769230769231
"158","02","El Progreso",5.54103764793589,5.36176130071479
"159","02","El Rincón",4.41638482493564,4.41101664350315
"160","02","El Salvador",3.30317164179105,3.07708616010855
"161","02","Estación Villa",1.65753424657534,1.7984496124031
"162","02","Fátima",1.58333333333333,1.64583333333333
"163","02","Florida Nueva",1.43852978453739,1.42458808618504
"164","02","Francisco Antonio Zea",1.43852978453739,1.42458808618504
"165","02","Girardot",1.67810026385224,1.5197889182058
"166","02","Guayabal",5.46437056618926,5.40358654108654
"167","02","Guayaquil",8.36252062879563,7.84091487635348
"168","02","Jesús Nazareno",6.33734814265152,6.05167376950392
"169","02","La Aguacatala",1.73828125,1.9527027027027
"170","02","La América",1.4932735426009,1.47982062780269
"171","02","La Candelaria",7.05009032179051,7.02235090152566
"172","02","La Floresta",1.4932735426009,1.47982062780269
"173","02","La Libertad",1.45145018915511,1.40479192938209
"174","02","López de Mesa",1.4932735426009,1.47982062780269
"175","02","Las Acacias",3.26515844926056,3.05332749423565
"176","02","Las Granjas",1.61567164179104,1.53731343283582
"177","02","Laureles",1.45145018915511,1.40479192938209
"178","02","Lorena",1.39339752407153,1.33975240715268
"179","02","Loreto",1.96,1.888
"180","02","Los Ángeles",6.54919350296208,6.46092316528328
"181","02","Los Alpes",1.43852978453739,1.42458808618504
"182","02","Los Colores",6.15325500735071,5.92846317755352
"183","02","Los Conquistadores",10.4366718072099,10.8080842985838
"184","02","Los Mangos",1.43852978453739,1.42458808618504
"185","02","Los Naranjos",1.39339752407153,1.33975240715268
"186","02","Los Pinos",3.21737593838354,3.23228039387735
"187","02","Manila",5.87189041762212,5.67622916137768
"188","02","Naranjal",7.36966449185868,7.21846757863823
"189","02","Patio Bonito",3.05420142632843,2.96190151902087
"190","02","Perpetuo Socorro",12.7135266069055,12.992575618951
"191","02","Popular",1.84172661870504,1.66906474820144
"192","02","Prado",7.40006111535523,6.99452264808362
"193","02","Robledo",1.76771004942339,1.6360153256705
"194","02","Rosales",1.96085409252669,2.14649681528662
"195","02","San Benito",7.75485151090124,7.63639548816032
"196","02","San Diego",6.37563346740224,5.62817260907713
"197","02","San Germán",2.84484771322663,2.74454433653478
"198","02","San Javier No.1",1.89864864864865,1.89864864864865
"199","02","San Martín de Porres",1.43852978453739,1.42458808618504
"200","02","San Pablo",1.4932735426009,1.47982062780269
"201","02","San Pedro",1.62962962962963,1.61111111111111
"202","02","Santa Fé",12.2187545562628,12.6996404311171
"203","02","Santa María de los Ángeles",1.39339752407153,1.33975240715268
"204","02","Santander",1.45145018915511,1.40479192938209
"205","02","Sevilla",4.61270485608378,4.26240147939192
"206","02","Sucre",1.61567164179104,1.53731343283582
"207","02","Suramericana",4.63913518949929,4.71077923022741
"208","02","Tenche",1.45145018915511,1.40479192938209
"209","02","Terminal de Transporte",6.90389502229574,7.06193960465004
"210","02","Toscana",1.43852978453739,1.42458808618504
"211","02","Trinidad",1.39339752407153,1.33975240715268
"212","02","Universidad Nacional",1.39339752407153,1.33975240715268
"213","02","Villa Carlota",3.5867814189562,3.60860785056166
"214","02","Villa del Socorro",1.84172661870504,1.66906474820144
"215","02","Villa Flora",1.61567164179104,1.53731343283582
"216","02","Villa Guadalupe",1.39339752407153,1.33975240715268
"217","02","Villa Nueva",7.39074807818069,7.55431216326616
"218","03","",1.39339752407153,1.33975240715268
"219","03","Alejandro Echavarría",1.61567164179104,1.53731343283582
"220","03","Alfonso López",2.98160094292395,2.9123296178243
"221","03","Barrio Caicedo",1.62962962962963,1.61111111111111
"222","03","Barrio Colón",12.8282383232853,12.7911557920938
"223","03","Barrio Colombia",6.18454487952032,6.0968182672396
"224","03","Belén",8.73567688103378,9.1469487298265
