"","x"
"Aguas Frias",2
"Aldea Pablo VI",8
"Alejandría",8
"Alejandro Echavarría",5
"Alfonso López",5
"Altamira",8
"Altavista",5
"Altavista Sector Central",2
"Altos del Poblado",5
"Andalucía",8
"Antonio Nariño",5
"Aranjuez",5
"Área De Expansión Altavista",2
"Área de Expansión Altos de Calasanz",8
"Área De Expansión Belén Rincón",2
"Área de Expansión Pajarito",5
"Área de Expansión San Antonio de Prado",6
"Asomadera No. 1",5
"Asomadera No. 2",5
"Asomadera No. 3",5
"Astorga",8
"AUC1",2
"AUC2",7
"Aures No. 1",5
"Aures No. 2",5
"B. Cerro El Volador",6
"Barrio Caicedo",5
"Barrio Colombia",8
"Barrio Colón",8
"Barrio Cristóbal",5
"Barrio de Jesús",5
"Barro Blanco",6
"Batallón Girardot",6
"Belalcázar",8
"Belén",5
"Belencito",6
"Bello Horizonte",5
"Berlín",5
"Bermejal-Los Alamos",8
"Betania",5
"Blanquizal",8
"Bolivariana",8
"Bomboná No. 1",8
"Bomboná No. 2",8
"Bosques de San Pablo",5
"Boston",5
"Boyacá",8
"Brasilia",5
"Buenos Aires",5
"Buga Patio Bonito",8
"Cabecera San Antonio de Prado",8
"Cabecera Urbana San Cristobal",8
"Calasanz",6
"Calasanz Parte Alta",5
"Calle Nueva",8
"Campo Alegre",5
"Campo Amor",8
"Campo Valdés No. 1",8
"Campo Valdés No. 2",8
"Caribe",8
"Carlos E. Restrepo",8
"Carpinelo",5
"Castilla",5
"Castropol",8
"Cataluña",5
"Cementerio Universal",6
"Centro Administrativo",8
"Cerro Nutibara",8
"Corazón de Jesús",8
"Córdoba",5
"Corregimiento de San Antonio de Prado",3
"Corregimiento de Santa Elena",7
"Cristo Rey",8
"Cuarta Brigada",5
"Cucaracho",8
"Diego Echavarría",5
"Doce de Octubre No.1",5
"Doce de Octubre No.2",5
"Eduardo Santos",6
"El Castillo",8
"El Chagualo",8
"El Compromiso",8
"El Corazón",8
"El Corazon El Morro ",6
"El Danubio",5
"El Diamante",8
"El Diamante No. 2",8
"El Estadio",8
"El Nogal-Los Almendros",8
"El Pesebre",5
"El Picacho",5
"El Pinal",5
"El Plan",4
"El Poblado",8
"El Pomar",8
"El Progreso",8
"El Progreso No.2",6
"El Raizal",8
"El Rincón",5
"El Rodeo",8
"El Salado",5
"El Salvador",8
"El Socorro",2
"El Tesoro",8
"El Triunfo",6
"El Uvito",3
"El Velódromo",5
"El Vergel",1
"Enciso",5
"Estación Villa",8
"Facultad de Minas U. Nacional",8
"Facultad Veterinaria y Zootecnia U.de.A.",5
"Fátima",8
"Ferrini",8
"Florencia",5
"Florida Nueva",8
"Francisco Antonio Zea",5
"Fuente Clara",5
"Gerona",8
"Girardot",5
"Granada",8
"Granizal",5
"Guayabal",8
"Guayaquil",8
"Héctor Abad Gómez",8
"Hospital San Vicente de Paúl",5
"Inst",6
"Jardín Botánico",8
"Jesús Nazareno",8
"Juan Pablo II",6
"Juan XXIII La Quiebra",5
"Kennedy",8
"La Aguacatala",8
"La Alpujarra",8
"La América",8
"La Avanzada",6
"La Candelaria",8
"La Castellana",6
"La Colina",8
"La Cruz",8
"La Esperanza",5
"La Esperanza No. 2",5
"La Floresta",5
"La Florida",8
"La Francia",6
"La Frontera",8
"La Gloria",8
"La Hondonada",5
"La Isla",5
"La Ladera",5
"La Libertad",5
"La Loma de Los Bernal",2
"La Loma Oriental",5
"La Mansión",8
"La Milagrosa",5
"La Mota",5
"La Oculta",3
"La Palma",5
"La Pilarica",8
"La Piñuela",5
"La Pradera",8
"La Rosa",5
"La Salle",8
"La Sierra",6
"La Verde ",5
"Lalinde",8
"Las Acacias",8
"Las Brisas",5
"Las Esmeraldas",8
"Las Estancias",8
"Las Granjas",8
"Las Independencias",2
"Las Lomas No.1",5
"Las Lomas No.2",5
"Las Mercedes",8
"Las Palmas",8
"Las Playas",5
"Las Violetas",5
