;NOMBRE;grupo
0;U.P.B;5
1;Cerro Nutibara;8
2;Mirador del Doce;2
3;El Nogal-Los Almendros;8
4;El Triunfo;6
5;Enciso;5
6;La Esperanza;5
7;Las Estancias;8
8;Pablo VI;5
9;Ecoparque Cerro El Volador;6
10;Versalles No.1;8
11;Altos del Poblado;5
12;Universidad Nacional;8
13;El Diamante;8
14;Palenque;5
15;Barrio Colombia;8
16;Rosales;8
17;Urquita;
18;Potrera Miserenga;
19;Campo Amor;8
20;La Aguacatala;8
21;El Pinal;5
22;Fuente Clara;5
23;Santo Domingo Savio No.2;6
24;Las Granjas;8
25;Barrios de JesÇ§s;5
26;La Alpujarra;8
27;CorazÇün de JesÇ§s;8
28;Buenos Aires;5
29;Toscana;8
30;Los Pinos;8
31;Gerona;8
32;Santa Teresita;8
33;Francisco Antonio Zea;5
34;La Mota;5
35;La Hondonada;5
36;LLanaditas;2
37;Nuevos Conquistadores;5
38;La AmÇ¸rica;8
39;Loreto;5
40;Picachito;2
41;Miranda;8
42;U.D. Atanasio Girardot;8
43;Patio Bonito;5
44;Manrique Oriental;8
45;La Esperanza No.2;5
46;Pedregal;5
47;Prado;5
48;El Diamante No.2;8
49;Nueva Villa del AburrÇ­;8
50;Villa del Socorro;5
51;Trece de Noviembre;6
52;Doce de Octubre No.1;5
53;La Loma de Los Bernal;5
54;Juan Pablo II;6
55;Villa Flora;8
56;Tenche;8
57;FÇ­tima;8
58;Oleoducto;5
59;BoyacÇ­;8
60;Aldea Pablo VI;8
61;Villa Hermosa;5
62;Las Lomas No.1;5
63;Santa Cruz;8
64;Betania;5
65;Kennedy;8
66;Santa FÇ¸;8
67;Terminal de Transporte;8
68;Facultad de Minas;5
69;La Rosa;8
70;El Tesoro;8
71;Monteclaro;5
72;La MansiÇün;8
73;La Florida;8
74;Diego EchavarrÇğa;5
75;Los AlcÇ­zares;8
76;Campo ValdÇ¸s No.1;8
77;Alfonso LÇüpez;5
78;Olaya Herrera;8
79;Facultad Veterinaria y Zootecnia U.de.A.;5
80;Astorga;8
81;Caribe;8
82;Aranjuez;5
83;Manrique Central No.2;5
84;San Antonio;2
85;El RincÇün;5
86;Sin Nombre;3
87;Calasanz;6
88;Bermejal-Los Alamos;8
89;JesÇ§s Nazareno;8
90;Ocho de Marzo;6
91;Belencito;6
92;Cerro Nutibara;8
93;SimÇün BolÇğvar;8
94;Cucaracho;8
95;Universidad de Antioquia;5
